timestamp,workers,paragraphs,run_index,jobs,successes,failures,throughput,avg_latency,p95_latency,total_duration,concurrency,sentences_per_section,top_n
1763221769.021031,3,100,5,300,300,0,154.06502826424557,0.04948650987666701,0.11823429615000051,1.947229708000009,8,10,10
1763221772.3601952,3,100,6,300,300,0,128.43090908467914,0.05826904042333268,0.12357173510002042,2.335886291999998,8,10,10
1763221775.9220061,3,100,7,300,300,0,117.35325955379194,0.06608476851333459,0.1259720211500266,2.556384042000019,8,10,10
1763221779.319487,3,100,8,300,299,1,124.8019772974154,0.0627534803545149,0.12085422469998833,2.3957953749999774,8,10,10
1763221782.726017,3,100,9,300,300,0,124.92975304094588,0.06156648596333241,0.1223975503500327,2.401349500000009,8,10,10
1763221791.5272021,4,100,0,300,300,0,120.80480567444496,0.06342717615666649,0.1226922017500172,2.483344915999993,8,10,10
1763221794.8854232,4,100,1,300,300,0,127.5170267109909,0.06148351638333281,0.12272505559999303,2.3526270000000125,8,10,10
1763221798.411149,4,100,2,300,298,2,118.25915185293528,0.06511496894295307,0.12213946254999257,2.519889541999987,8,10,10
1763221801.636769,4,100,3,300,300,0,134.96008977095187,0.05794286168333277,0.12274830655000671,2.2228793750000193,8,10,10
1763221804.981856,4,100,4,300,300,0,128.13996530904302,0.059165753486665265,0.122207536849983,2.341189958000001,8,10,10
1763221808.120642,4,100,5,300,300,0,140.47044958269697,0.05349043322333235,0.12291813929998056,2.1356805000000065,8,10,10
1763221811.255819,4,100,6,300,300,0,140.91533788885278,0.054356708893332856,0.12071102595001264,2.128937874999991,8,10,10
1763221814.412388,4,100,7,300,299,1,139.0103754852297,0.055189263678929984,0.12221658339996679,2.15091858400001,8,10,10
1763221817.52259,4,100,8,300,300,0,142.55319060472206,0.05471160258666458,0.12103083330002136,2.1044776250000155,8,10,10
1763221820.320696,4,100,9,300,300,0,167.2830893306957,0.04587680097666606,0.11937465654999357,1.7933671670000138,8,10,10
1763221829.210604,5,100,0,300,300,0,117.2748033032789,0.06481164017666685,0.12331846845002872,2.5580942500000106,8,10,10
1763221832.038954,5,100,1,300,300,0,164.1992086692814,0.04697197466666571,0.12210979170001936,1.8270489999999882,8,10,10
1763221835.251478,5,100,2,300,300,0,135.76854069481323,0.05757788843666769,0.12399753060000336,2.209642959000007,8,10,10
1763221838.410673,5,100,3,300,300,0,139.30329199798325,0.056018657399998895,0.12220154100000259,2.153574375000005,8,10,10
1763221842.2766101,5,100,4,300,300,0,104.73126849861038,0.07491563041000092,0.12477564795000404,2.8644740419999835,8,10,10
1763221845.832553,5,100,5,300,299,1,117.06689862743148,0.06653835508695687,0.12122622919999343,2.5540951669999856,8,10,10
1763221849.36023,5,100,6,300,300,0,118.81747892659709,0.06506577679000088,0.12258502919998904,2.524881042000004,8,10,10
1763221852.663927,5,100,7,300,300,0,130.56938732809323,0.05757313002333367,0.12273567594998269,2.2976289169999973,8,10,10
1763221856.20877,5,100,8,300,300,0,118.13715814396059,0.06524471245999895,0.12175698779997503,2.5394211670000004,8,10,10
1763221859.133496,5,100,9,300,298,2,154.9220670468275,0.049981393154363965,0.12033381514998212,1.9235477919999937,8,10,10
1763221867.513491,6,100,0,300,300,0,147.6583508149541,0.05149232807333353,0.12094614549998539,2.031717125,8,10,10
